Listing Name,Time Listed,Neighborhood,Link,Price
OSGOOD LOCATION-W/D-DBL GARAGE-BALCONY,2021-10-07 17:58,5100 44th Ave S,https://fargo.craigslist.org/apa/d/fargo-osgood-location-d-dbl-garage/7391059950.html,1050
AVAILABLE NOW-CAT FRIENDLY-AFFORDABLE MOORHEAD LOCATION,2021-10-07 17:32,"1003 18 1/2 St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-available-now-cat-friendly/7390008290.html,600
AFFORDABLE-CLOSE TO MSUM-SECURE BUILDING-6 PLEX,2021-10-07 17:32,"921 18 1/2 St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-affordable-close-to-msum/7390011339.html,525
AFFORDABLE 1 BED - MOORHEAD- AVAILABLE NOW,2021-10-07 17:32,"1119 19th St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-affordable-bed-moorhead/7390015362.html,425
AVAILABLE 2 BED-NEW CARPET-CALL FOR A SHOWING TODAY,2021-10-07 17:32,"1119 19th St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-available-bed-new-carpet-call/7390018259.html,525
AFFORDABLE MOORHEAD-1 BEDROOM- RENT NOW,2021-10-07 17:32,"1119 19th St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-affordable-moorhead-bedroom/7390021653.html,425
1 &amp; 2 BEDS AVAILABLE - RENT READY - CALL TODAY,2021-10-07 17:32,"1119 19th St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-beds-available-rent-ready-call/7390033716.html,425
LARGE 2 BD-DBL GARAGE-CAT FRIENDLY,2021-10-07 15:04,2545 14th St. S,https://fargo.craigslist.org/apa/d/fargo-large-bd-dbl-garage-cat-friendly/7389995273.html,545
CLOSE TO 25TH STREET-AVAILABLE NOW-AFFORDABLE-812 SQ FT,2021-10-07 14:41,Fargo,https://fargo.craigslist.org/apa/d/fargo-close-to-25th-street-available/7390967586.html,585
CORNER UNIT-GARAGE-AVAILABLE NOW-CLOSE TO INTERSTATE,2021-10-07 14:35,Fargo,https://fargo.craigslist.org/apa/d/fargo-corner-unit-garage-available-now/7390964327.html,625
|Downtown Fargo| Pet Friendly| Parking| Patio|,2021-10-07 14:33,Fargp,https://fargo.craigslist.org/apa/d/fargo-downtown-fargo-pet-friendly/7389992200.html,950
|2 bedroom in Downtown Fargo; Charming|,2021-10-07 14:31,Fargo,https://fargo.craigslist.org/apa/d/fargo-bedroom-in-downtown-fargo-charming/7389991734.html,600
|Charming 1 bedroom in Downtown Fargo|,2021-10-07 14:30,Fargo,https://fargo.craigslist.org/apa/d/fargo-charming-bedroom-in-downtown-fargo/7389994110.html,535
QUIET 7 PLEX - NORTH FARGO - GARAGE - AVAILABLE NOW,2021-10-07 14:28,"1614 11th Ave N Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-quiet-plex-north-fargo-garage/7390960684.html,630
"Two bd, Townhome style, includes heat and hotwater, near NDSU",2021-10-07 13:51,1308 10th St N,https://fargo.craigslist.org/apa/d/fargo-two-bd-townhome-style-includes/7389948062.html,595
"NDSU area. Second floor, Two bedroom- includes heat and hotwater",2021-10-07 13:51,"north Fargo near NDSU, 1312 10th St N",https://fargo.craigslist.org/apa/d/fargo-ndsu-area-second-floor-two/7381567119.html,445
"Heat and Hotwater Included, Park view",2021-10-07 13:50,"1818 2nd Ave S, Fargo",https://fargo.craigslist.org/apa/d/fargo-heat-and-hotwater-included-park/7383492358.html,495
Convenient location - one block from I94 entrance ramp,2021-10-07 13:49,"3015 20th St S, Moorhead",https://fargo.craigslist.org/apa/d/moorhead-convenient-location-one-block/7388165537.html,515
ROYAL OAKS! Pets! Huge Walk-In Closets! Big Balcony/Patio! Free Heat!,2021-10-07 13:07,South Fargo,https://fargo.craigslist.org/apa/d/fargo-royal-oaks-pets-huge-walk-in/7390915496.html,640
ROYAL OAKS! Pets! Huge Walk-In Closets! Big Balcony/Patio! Free Heat!,2021-10-07 13:05,South Fargo,https://fargo.craigslist.org/apa/d/fargo-royal-oaks-pets-huge-walk-in/7390914173.html,640
"LOCATION, LOCATION, LOCATION!! CLOSE TO EVERYTHING! SPACIOUS 1 BD",2021-10-07 12:02,2411 30 1/2 Ave S,https://fargo.craigslist.org/apa/d/location-location-location-close-to/7389909241.html,500
DECEMBER 1- W/D IN UNIT-GARAGE-SPACIOUS-FIREPLACE,2021-10-07 11:59,"4240 17th Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-december-d-in-unit-garage/7390875204.html,745
GARAGES AVAILABLE FOR RENT-GROUND LEVEL-NEW COUNTER TOPS,2021-10-07 11:46,"111 18th St S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-garages-available-for-rent-ground/7390867766.html,550
AVAILABLE NOW-BALCONY-AFFORDABLE-ONLY PAY ELECTRIC,2021-10-07 11:43,"111 18th St S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-available-now-balcony-affordable/7390865679.html,575
SPACIOUS 2 BED-W/D IN UNIT-GARAGE-BALCONY-FIREPLACE-HEAT PD,2021-10-07 11:14,4240 17th Ave. S,https://fargo.craigslist.org/apa/d/fargo-spacious-bed-d-in-unit-garage/7389889424.html,745
WILL WORKWITH BAD CREDIT..Heat Pd.. N.FGO..2Bed Great location,2021-10-07 10:56,202 35 AVE NORTH,https://fargo.craigslist.org/apa/d/fargo-will-workwith-bad-creditheat-pd/7379349546.html,795
NEAR AMAZON SITE..Heat Pd.. N.FGO..2Bed Great location,2021-10-07 10:56,202 35 AVE NORTH,https://fargo.craigslist.org/apa/d/fargo-near-amazon-siteheat-pd-nfgo2bed/7379560139.html,795
1bedroom-Sanford/downtown/Subsidized Rent,2021-10-07 10:29,North Fargo,https://fargo.craigslist.org/apa/d/fargo-1bedroom-sanford-downtown/7389387638.html,0
1 bedroom Apartment. Sanford/Downtown/NDSU,2021-10-07 10:28,North Fargo,https://fargo.craigslist.org/apa/d/fargo-bedroom-apartment-sanford/7389388940.html,495
